"IMEA_Regions","Area_ha","2009-12-03","2008-12-04","change_in_plant_per"
"Noroeste",241200,1,1,0
"Norte",32000,1,1,0
"Nordeste",577200,0.904,0.807,0.097
"Medio_Norte",2440000,1,0.998,0.002
"Oeste",931000,1,1,0
"Centro_Sul",409100,1,1,0
"Sudeste",1430000,1,0.99,0.01
"Mato_Grosso",6072700,0.992,0.981,0.011
