"","Year","Muni","FOB","TONS"
"113",2014,"Ponte Alta",226459.392264,5693.188999568
"114",2014,"Vargem",224194.793976,5636.257000386
"115",2014,"Zortea",722405.4251,18161.2719997
"116",2014,"Aguas De Chapeco",33622.64420186,1730.730000003
"117",2014,"Bom Jesus Do Oeste",65807.46786284,3387.448000414
"118",2014,"Alto Bela Vista",15286.0385132,384.291000044
"119",2014,"Peritiba",5661.4957449,142.329999986
"120",2014,"Sao Miguel D Oeste",54341.85342313,2797.253999849
"121",2014,"Inaja",631.253088514,10.147808104
"122",2014,"Porto Rico",61462.73065,118.47100003
"123",2014,"Ampere",377240.2865291,19418.49300206
"124",2014,"Capanema",648645.0959214,33389.0910022
"125",2014,"Pranchita",655115.9294068,33722.17800553
"126",2014,"Realeza",873185.896027,44947.35800466
"127",2014,"Capitao Leonidas Marques",619608.530444,31894.42999616
"128",2014,"Astorga",1901078.59675025,30561.08736753
"129",2014,"Centenario Do Sul",643487.148328,7182.09600051
"130",2014,"Guaraci",112220.098526728,1804.011807451
"131",2014,"Iguaracu",928656.40253342,14928.761758131
"132",2014,"Jaguapita",317302.353100878,5100.843780007
"133",2014,"Lobato",412233.542119514,6626.925008806
"134",2014,"Nossa Senhora Das Gracas",125370.902700087,2015.419624255
"135",2014,"Jandaia Do Sul",398907.385498301,6412.698286048
"136",2014,"Jardim Alegre",1742464.60248,28771.4369916
"137",2014,"Lunardelli",301526.1194588,9894.523999837
"138",2014,"Corumbatai Do Sul",536172.033828,8853.22999943
"139",2014,"Iretama",1865462.10605,30802.3620009
"140",2014,"Engenheiro Beltrao",766349.26932,1477.1579999
"141",2014,"Mambore",1241314.60012,20496.48800001
"142",2014,"Barbosa Ferraz",2199119.78055,36311.691005
"143",2014,"Assai",4236540.27626,47284.92099414
"144",2014,"Boa Esperanca Do Iguacu",102962.3809069,5300.001999752
"145",2014,"Nova Prata Do Iguacu",838927.0221788,43183.8779985
"146",2014,"Santo Antonio Da Platina",861255.000433,28261.92400278
"147",2014,"Bom Sucesso",345778.190153145,5558.611567865
"148",2014,"Marumbi",202728.697065317,3258.996989296
"149",2014,"Pitangueiras",443725.291776676,7133.175573191
"150",2014,"Cambe",2775299.797311,91070.95100094
"151",2014,"Londrina",3295206.87687,54410.193991
"152",2014,"Inacio Martins",725743,3287.065
"153",2014,"Ponta Grossa",3667540.22382,225499.999956
"154",2014,"Santana Do Itarare",427532.983396,14029.41599921
"155",2014,"Japura",1716595.32014,19159.28300016
"156",2014,"Imbituva",2126159.19603,57527.79199481
"157",2014,"Irati",210263.8965,833.161
"158",2014,"Maringa",5363892.68542,59694.05100414
"159",2014,"Bataypora",586774.666773425,9432.788253135
"160",2014,"Coronel Sapucaia",1013625.1122019,15700.61400014
"161",2014,"Barra Do Ribeiro",324821.963954,8166.02399996
"162",2014,"Balneario Pinhal",5832.3390264,146.625000023
"163",2014,"Capivari Do Sul",178391.571035,4484.764000263
"164",2014,"Cidreira",23329.3561034,586.499999981
"165",2014,"Mostardas",139975.937752,3518.994999717
"166",2014,"Osorio",31533.4931182,792.752000036
"167",2014,"Palmares Do Sul",106926.096159,2688.122000247
"168",2014,"Tavares",11936.8737637,300.092999957
"169",2014,"Tramandai",194.431189509,4.887999999
"170",2014,"Arroio Dos Ratos",122478.960452,3079.120999838
"171",2015,"Unknown Municipality Sao Paulo",3465767,29264.888
"172",2015,"Unknown Municipality Parana",344145,3449.402
"173",2015,"Unknown Municipality Mato Grosso",361937,19606.26
"174",2015,"Unknown Municipality Mato Grosso Do Sul",8404160,63961.776
"175",2015,"Canarana",8374590,69258.97397
"176",2015,"Nortelandia",3089553.55611069,48447.499749076
"177",2015,"Feliz Natal",632221.508943,16648.585549003
"178",2015,"Santa Carmem",700925.4217858,2710.604713964
"179",2015,"Vila Bela Santissima Trindade",1273127.47083442,35608.036135806
"180",2015,"Pontes E Lacerda",14212615.011672,108234.72921992
"181",2015,"Gaucha Do Norte",6287449.887118,47932.432535843
"182",2015,"Nova Ubirata",31811649.1630164,401978.01475792
"183",2015,"Nova Maringa",13503807.225783,97569.20296041
"184",2015,"Porto Dos Gauchos",648990.69215,5699.333534
"185",2015,"Almas",234398.657554,1728.18845803
"186",2015,"Dianopolis",632023.13005,1577.7212215
"187",2015,"Santa Rosa Do Tocantins",1737671.42616,9868.3993224
"188",2015,"Silvanopolis",47755.216949,445.31977164
"189",2015,"Corrente",202910.13566,740.6741562
"190",2015,"Sebastiao Barros",129924.18525,470.9804112
"191",2015,"Luis Eduardo Magalhaes",973490.121444,5234.25899183
"192",2015,"Barreiras",794037.49067,31621.9060906
"193",2015,"Patos De Mina",3701287.14,15053.0566
"194",2015,"Boa Esperanca",5731061.48048,46308.883129
"195",2015,"Paracatu",12722251.4027,78968.1959288
"196",2015,"Cristalina",17872.582738,84.34861038
"197",2015,"Bom Jesus De Goias",1060491.0356489,17859.826683
"198",2015,"Jatai",2570423.8739,26515.05371922
"199",2015,"Rio Verde",6857478.28966,250847.35002992
"200",2015,"Rosario Oeste",6787143.523008,215205.26928816
"201",2015,"Novo Sao Joaquim",4070856.0919232,62639.14530623
"202",2015,"Alto Paraguai",11349706.217619,172656.490196536
"203",2015,"Brasnorte",3707242.150096,56339.116136072
"204",2015,"Chapada Dos Guimaraes",1514308.0374759,24518.458842783
"205",2015,"Jaciara",5478701.78618847,88326.29146836
"206",2015,"Dom Aquino",2880589.51733673,34122.039922225
"207",2015,"Rondonopolis",5089334.1083444,89041.63408979
"208",2015,"Nova Brasilandia",208846.16315,1485.5830952
"209",2015,"Nobres",5419333.568377,178549.935918641
"210",2015,"Sorriso",2292861.36175,50129.9077483
"211",2015,"Ponta Pora",1429851.6255198,44730.72119605
"212",2015,"Rio Brilhante",494594.37486302,11997.306800916
"213",2015,"Sidrolandia",1206755.6574149,34146.736052182
"214",2015,"Brasilia",852733.44388,28358.2936308
"215",2015,"Rosana",1452382.74132,159686.140117789
"216",2015,"Tarabai",7354819.48167075,52054.855412761
"217",2015,"Itaporanga",183.837643469,4.826242564
"218",2015,"Alfenas",867.18129924,133.661428526
"219",2015,"Campo Do Meio",4197.1283489,8.486173234
"220",2015,"Coqueiral",11387.2580187,1686.818427386
"221",2015,"Santana Da Vargem",52883.759947,106.925666994
"222",2015,"Lavras",18417.825951,1393.42908355
"223",2015,"Nepomuceno",41971.226234,84.861616592
"224",2015,"Itutinga",70156.47232,9925.82377018
"225",2015,"Sao Joao Del Rei",310587.068457,627.97595112
"226",2015,"Conceicao Da Barra De Minas",68321.961301,1855.83102088
"227",2015,"Lagoa Dourada",47567.397377,96.176514234
"228",2015,"Camargo",79883.660736,2799.6748473
"229",2015,"Casca",44650.5466086,274.31789158
"230",2015,"Vanini",4521.6855191,11.935210677
"231",2015,"Ajuricaba",56146.3965047,2149.996468416
"232",2015,"Nova Ramada",38595.118051,1153.120305448
"233",2015,"Santo Augusto",36173.4533208,95.481604007
"234",2015,"Independencia",9917.9641132,239.03882282
"235",2015,"Almirante Tamandare Do Sul",220344.379848,11323.61760868
"236",2015,"Barra Funda",14849.1431362,325.23366635
"237",2015,"Boa Vista Das Missoes",325506.908578,17202.18608792
"238",2015,"Carazinho",19659.97699555,1163.483671205
"239",2015,"Jaboticaba",6611.5158116,376.198734927
"240",2015,"Novo Barreiro",10781.9516928,28.334838697
"241",2015,"Sagrada Familia",7087.2265328,204.106634597
"242",2015,"Sao Jose Das Missoes",1815.7585008,87.137576864
"243",2015,"Sao Pedro Das Missoes",2994.98658122,7.870788527
"244",2015,"Alpestre",40809.1339403,1463.048798326
"245",2015,"Novo Tiradentes",16880.9592749,44.558119855
"246",2015,"Novo Xingu",4763.3465133,86.947346244
"247",2015,"Planalto",22774.45018777,627.316896972
"248",2015,"Rio Dos Indios",6425.03238779,89.647571019
"249",2015,"Rodeio Bonito",32011.0311923,1228.14660975
"250",2015,"Trindade Do Sul",29472.6278395,345.967218862
"251",2015,"Vicente Dutra",260584.9836513,7303.410252115
"252",2015,"Alto Alegre",76754.357511,1631.01407403
"253",2015,"Fortaleza Dos Valos",22504.4054171,104.368029532
"254",2015,"Glorinha",1085.2045247,2.864450562
"255",2015,"Itapuca",262.581739974,3.898300461
"256",2015,"Parai",4173.865674775,1040.609299373
"257",2015,"Benjamin Constant Do Sul",322565.6448238,44603.828359587
"258",2015,"Campinas Do Sul",3125591.57885,61068.52646756
"259",2015,"Erebango",1452272.18696,18568.829003
"260",2015,"Faxinalzinho",335941.600632,7182.54288698
"261",2015,"Getulio Vargas",1191984.7943,29248.47730878
"262",2015,"Marcelino Ramos",442951.02049,12756.6462983
"263",2015,"Ponte Preta",490021.821015,11941.0168248
"264",2015,"Arroio Do Meio",2011016.43335,75825.1353583
"265",2015,"Paverama",1298840.53445,25811.7364077
"266",2015,"Santa Clara Do Sul",759642.08795,2005.1125447
