YEAR,BIOME,STATE,MUNICIPALITY,LOGISTICS HUB,PORT,EXPORTER,IMPORTER,COUNTRY,TYPE,FOB_USD,SOY_EQUIVALENT_TONNES
2014,UNKNOWN BIOME,SAO PAULO,Unknown Municipality Sao Paulo,UNKNOWN,Santos,Cofco,Concordia Trdg,China,Soy bean equivalents,1094000,14422.313
2014,UNKNOWN BIOME,SAO PAULO,Unknown Municipality Sao Paulo,UNKNOWN,Santos,Cofco,Concordia Trdg,Italy,Soy bean equivalents,79725,5545.051
2014,UNKNOWN BIOME,SAO PAULO,Unknown Municipality Sao Paulo,UNKNOWN,Santos,Cofco,Concordia Trdg,Netherlands,Soy bean equivalents,1098000,7000.756
2014,UNKNOWN BIOME,SAO PAULO,Unknown Municipality Sao Paulo,UNKNOWN,Santos,Cofco,Concordia Trdg,Senegal,Soy bean equivalents,266502,496.28
2014,UNKNOWN BIOME,SAO PAULO,Unknown Municipality Sao Paulo,UNKNOWN,Santos,Cofco,Concordia Trdg,Thailand,Soy bean equivalents,416897,838.826
2014,UNKNOWN BIOME,MINAS GERAIS,Unknown Municipality Minas Gerais,UNKNOWN,Santos,Cofco,Concordia Trdg,Italy,Soy bean equivalents,510643,961.662
2014,UNKNOWN BIOME,PARANA,Unknown Municipality Parana,UNKNOWN,Imbituba,Cofco,Concordia Trdg,Belgium,Soy bean equivalents,344145,3449.402
2014,UNKNOWN BIOME,PARANA,Unknown Municipality Parana,UNKNOWN,Imbituba,Cofco,Concordia Trdg,Italy,Soy bean equivalents,361937,19606.26
2014,UNKNOWN BIOME,PARANA,Unknown Municipality Parana,UNKNOWN,Imbituba,Cofco,Concordia Trdg,Russian Federation,Soy bean equivalents,768000,43208.08
2014,UNKNOWN BIOME,PARANA,Unknown Municipality Parana,UNKNOWN,Santos,Cofco,Concordia Trdg,China,Soy bean equivalents,1302500,2500
2014,UNKNOWN BIOME,PARANA,Unknown Municipality Parana,UNKNOWN,Rio Grande,Cofco,Concordia Trdg,China,Soy bean equivalents,6317740,18220
2014,UNKNOWN BIOME,MATO GROSSO,Unknown Municipality Mato Grosso,UNKNOWN,Paranagua,Cofco,Cofco,China,Soy bean equivalents,15920,33.696
2014,UNKNOWN BIOME,MATO GROSSO DO SUL,Unknown Municipality Mato Grosso Do Sul,UNKNOWN,Imbituba,Cofco,Concordia Trdg,Italy,Soy bean equivalents,895500,1500
2014,UNKNOWN BIOME,MATO GROSSO DO SUL,Unknown Municipality Mato Grosso Do Sul,UNKNOWN,Imbituba,Cofco,Concordia Trdg,Russian Federation,Soy bean equivalents,1477500,2500
2014,UNKNOWN BIOME,MATO GROSSO DO SUL,Unknown Municipality Mato Grosso Do Sul,UNKNOWN,Santos,Cofco,Concordia Trdg,China,Soy bean equivalents,1450726,5391.723
2014,UNKNOWN BIOME,MATO GROSSO DO SUL,Unknown Municipality Mato Grosso Do Sul,UNKNOWN,Rio Grande,Cofco,Concordia Trdg,China,Soy bean equivalents,351187,655.2
2014,UNKNOWN BIOME,MATO GROSSO DO SUL,Unknown Municipality Mato Grosso Do Sul,UNKNOWN,Paranagua,Cofco,Cofco,China,Soy bean equivalents,82869,177.575
2014,UNKNOWN BIOME,UNKNOWN STATE,Unknown,UNKNOWN,Santos,Cofco,Cofco,Bangladesh,Soy bean equivalents,574545,1030.86597
2014,AMAZONIA,MATO GROSSO,Canarana,CANARANA,Santos,Cofco,Concordia Trdg,China,Soy bean equivalents,56170,1130.638
2014,AMAZONIA,MATO GROSSO,Canarana,CANARANA,Santos,Cofco,Concordia Trdg,Thailand,Soy bean equivalents,1278,2.572
2014,AMAZONIA,MATO GROSSO,Canarana,CANARANA,Vitoria,Cofco,Concordia Trdg,China,Soy bean equivalents,2750000,55465.4
2014,AMAZONIA,MATO GROSSO,Canarana,CANARANA,Vitoria,Cofco,Concordia Trdg,Thailand,Soy bean equivalents,734815,1405
2014,AMAZONIA,MATO GROSSO,Canarana,CANARANA,Paranagua,Cofco,Concordia Trdg,China,Soy bean equivalents,129661,2535.485
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Santos,Cofco,Cofco,Bangladesh,Soy bean equivalents,103.9811563,1.434314759
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Santos,Cofco,Cofco,Myanmar,Soy bean equivalents,29.26283877,6.579741387
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Santos,Cofco,Cofco,Cambodia,Soy bean equivalents,5.323614625,1.066635746
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Santos,Cofco,Cofco,Sri Lanka,Soy bean equivalents,61.51916156,0.130775595
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Santos,Cofco,Cofco,China,Soy bean equivalents,262.9962279,6.523790095
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Santos,Cofco,Cofco,France,Soy bean equivalents,1673.899594,6.80771428
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Santos,Cofco,Cofco,Indonesia,Soy bean equivalents,38.81405964,3.138340513
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Santos,Cofco,Cofco,Italy,Soy bean equivalents,1814.440222,16.38858683
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Santos,Cofco,Cofco,South Korea,Soy bean equivalents,738.6066359,1.416171018
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Santos,Cofco,Cofco,Vietnam,Soy bean equivalents,20.98338441,2.065595665
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Santos,Cofco,Cofco,Spain,Soy bean equivalents,1903.670413,6.144029117
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Santos,Cofco,Cofco,Thailand,Soy bean equivalents,17.89197437,4.058506753
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Santos,Cofco,Cofco,Tunisia,Soy bean equivalents,157.7977368,1.322637174
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Santos,Cofco,Alimport - Empresa Comercializadora De Alimentos,Cuba,Soy bean equivalents,3604.287277,22.05687799
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Paranagua,Cofco,Concordia Trdg,China,Soy bean equivalents,364,2957.829
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Paranagua,Cofco,Cofco,China,Soy bean equivalents,48.98157856,0.065559564
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Paranagua,Cofco,Cofco,France,Soy bean equivalents,0.906769524,0.001973343
